id,Booking_status_pred,prob
42100,0,0.10056405
42101,0,0.034329902
42102,0,0.44511414
42103,0,0.17725253
42104,1,0.5727521
42105,1,0.7177406
42106,1,0.5475833
42107,1,0.73747694
42108,0,5.6421776e-08
42109,1,0.52099293
42110,1,0.7616963
42111,0,0.20542721
42112,0,0.43868858
42113,0,0.22903243
42114,0,0.3216263
42115,1,0.7530919
42116,0,0.063564666
42117,0,0.17894062
42118,1,0.9068501
42119,1,0.8997594
42120,1,0.91998357
42121,0,0.23694274
42122,0,0.010284253
42123,1,0.65159965
42124,1,0.8986475
42125,0,0.008432172
42126,0,8.900786e-27
42127,0,0.0071992935
42128,0,0.28265762
42129,1,0.68893003
42130,1,0.8913305
42131,0,0.42786676
42132,1,0.5142807
42133,1,0.9553248
42134,1,0.5516233
42135,0,1.2232187e-13
42136,0,0.04000596
42137,0,0.48076195
42138,1,0.59485024
42139,1,0.8817627
42140,0,0.0036980424
42141,0,0.19344
42142,1,0.56839234
42143,1,0.9030571
42144,0,0.09186225
42145,1,0.82238877
42146,0,0.048459955
42147,1,0.88008046
42148,1,0.6253474
42149,1,0.540485
42150,0,0.23741044
42151,1,0.7716066
42152,1,0.7605514
42153,0,0.1251018
42154,1,0.55023503
42155,0,0.43363363
42156,0,0.28861493
42157,0,0.017901123
42158,0,0.33206892
42159,1,0.8318617
42160,1,0.62170476
42161,0,1.4649382e-05
42162,0,0.045768138
42163,0,0.038174063
42164,1,0.8054819
42165,0,0.4978023
42166,1,0.80963355
42167,0,1.26313235e-08
42168,1,0.7822188
42169,1,0.7569843
42170,0,0.027291682
42171,0,0.30225
42172,0,0.22888514
42173,1,0.82739335
42174,0,0.0795496
42175,0,0.26575613
42176,1,0.90577257
42177,0,0.24731536
42178,0,0.041714
42179,1,0.89626294
42180,1,0.68284255
42181,1,0.6988466
42182,1,0.7239649
42183,0,0.4288445
42184,0,0.055843916
42185,0,0.1352414
42186,0,0.18659484
42187,0,0.2721075
42188,0,0.025628297
42189,0,0.1769805
42190,0,0.15102924
42191,0,0.2459452
42192,0,0.25294158
42193,0,0.11039964
